Year,Round,RaceName,Driver,Team,FinishPosition,GridPosition,Points,Status,Laps,QualiPosition,AvgLapTime,Finished,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Avg_Position_Last5,Driver_Avg_Position_Last3,Team_Avg_Position_Last5,Driver_Finish_Rate,Driver_Circuit_Avg,Team_Circuit_Avg,Quali_Grid_Diff,Quali_vs_Teammate,Race_Number_In_Season,Driver_Race_Count,Team_Championship_Points
2021,4,Spanish Grand Prix,LEC,Ferrari,4.0,4.0,12.0,Finished,66.0,4.0,83.55062903225806,1,17,7,24,5.333333333333333,5.333333333333333,6.8,1.0,10.488898563343492,10.488898563343492,0.0,-1.0,4,4,60.0
2021,4,Spanish Grand Prix,PER,Red Bull Racing,5.0,8.0,10.0,Finished,66.0,8.0,83.73838709677418,1,24,14,24,6.666666666666667,6.666666666666667,4.0,1.0,10.488898563343492,2.0,0.0,3.0,4,4,112.0
2021,4,Spanish Grand Prix,RIC,McLaren,6.0,7.0,8.0,Finished,66.0,7.0,83.89058064516128,1,27,10,24,7.333333333333333,7.333333333333333,6.0,1.0,10.488898563343492,10.488898563343492,0.0,-1.0,4,4,65.0
2021,4,Spanish Grand Prix,SAI,Ferrari,7.0,6.0,6.0,Finished,66.0,6.0,84.02212903225805,1,29,7,24,8.0,8.0,6.0,1.0,10.488898563343492,4.0,0.0,1.0,4,4,60.0
2021,4,Spanish Grand Prix,NOR,McLaren,8.0,9.0,4.0,+1 Lap,65.0,9.0,84.54749180327869,0,22,10,24,4.0,4.0,5.8,1.0,10.488898563343492,6.0,0.0,1.0,4,4,65.0
2021,4,Spanish Grand Prix,OCO,Alpine,9.0,5.0,2.0,+1 Lap,65.0,5.0,85.00353225806448,0,23,3,24,9.666666666666666,9.666666666666666,10.6,0.6666666666666666,10.488898563343492,10.488898563343492,0.0,-2.5,4,4,15.0
2021,4,Spanish Grand Prix,GAS,AlphaTauri,10.0,12.0,1.0,+1 Lap,65.0,12.0,84.71713114754098,0,9,2,24,11.333333333333334,11.333333333333334,12.2,0.6666666666666666,10.488898563343492,10.488898563343492,0.0,-2.0,4,4,10.0
2021,4,Spanish Grand Prix,STR,Aston Martin,11.0,11.0,0.0,+1 Lap,65.0,11.0,85.2037258064516,0,31,4,24,10.666666666666666,10.666666666666666,13.0,0.6666666666666666,10.488898563343492,10.488898563343492,0.0,-1.0,4,4,5.0
2021,4,Spanish Grand Prix,RAI,Alfa Romeo Racing,12.0,17.0,0.0,+1 Lap,65.0,17.0,85.21777419354837,0,26,1,24,14.666666666666666,14.666666666666666,14.2,0.6666666666666666,10.488898563343492,10.488898563343492,0.0,1.5,4,4,0.0
2021,4,Spanish Grand Prix,VET,Aston Martin,13.0,13.0,0.0,+1 Lap,65.0,13.0,84.97175409836068,0,34,4,24,14.333333333333334,14.333333333333334,12.2,0.0,10.488898563343492,11.0,0.0,1.0,4,4,5.0
