Year,Round,RaceName,Driver,Team,SprintPosition,SprintGrid,SprintPoints,Status,Laps,Finished,ShootoutPosition,SprintAvgLapTime,MainQualiTime,SprintPaceDelta,Driver_encoded,Team_encoded,Circuit_encoded,Driver_Sprint_Avg_Last3,Team_Sprint_Avg_Last3,MainRace_Avg_Last5,Team_Championship_Points
2022,4,Emilia Romagna Grand Prix,NOR,McLaren,5.0,3.0,4.0,Finished,21.0,1,5.0,80.93376470588234,89.131,-0.0033398742403448,22,10,10,5.0,7.0,6.4,775.0
2022,4,Emilia Romagna Grand Prix,RIC,McLaren,6.0,6.0,3.0,Finished,21.0,1,6.0,81.02470588235295,89.742,-0.0090704942544439,27,10,10,6.666666666666667,7.333333333333333,13.2,775.0
2022,4,Emilia Romagna Grand Prix,BOT,Alfa Romeo,7.0,8.0,2.0,Finished,21.0,1,7.0,80.94147058823529,90.439,-0.0179084041694301,5,0,10,1.6666666666666667,10.480167014613778,15.8,53.0
2022,4,Emilia Romagna Grand Prix,MAG,Haas F1 Team,8.0,4.0,1.0,Finished,21.0,1,8.0,81.26988235294118,89.164,0.0004259994170533,19,8,10,10.480167014613778,19.333333333333332,11.0,73.0
2022,4,Emilia Romagna Grand Prix,ALO,Alpine,9.0,5.0,0.0,Finished,21.0,1,9.0,81.2695294117647,89.202,-4.342828687220468e-06,1,3,10,10.0,11.333333333333334,11.2,170.0
2022,4,Emilia Romagna Grand Prix,MSC,Haas F1 Team,10.0,12.0,0.0,Finished,21.0,1,10.0,81.24717647058823,,0.0,21,8,10,18.666666666666668,15.666666666666666,15.4,73.0
2022,4,Emilia Romagna Grand Prix,RUS,Mercedes,11.0,11.0,0.0,Finished,21.0,1,11.0,81.38170588235295,,0.0,28,11,10,13.666666666666666,3.6666666666666665,3.6,604.5
2022,4,Emilia Romagna Grand Prix,TSU,AlphaTauri,12.0,16.0,0.0,Finished,21.0,1,12.0,81.46852941176472,,0.0,32,2,10,15.666666666666666,14.333333333333334,12.8,142.0
2022,4,Emilia Romagna Grand Prix,VET,Aston Martin,13.0,9.0,0.0,Finished,21.0,1,13.0,81.67405882352942,91.062,-0.015878287762284,34,4,10,10.0,12.0,9.8,266.0
2022,4,Emilia Romagna Grand Prix,HAM,Mercedes,14.0,13.0,0.0,Finished,21.0,1,14.0,81.5964705882353,,0.0,12,11,10,4.0,5.666666666666667,10.0,604.5
